Paper_title ,Broad_subject ,Specific_focus ,Data_type ,Country_studied,Publication_year,County,Region,UK_country,,Number of rivers or areas studied 
Estimation of Polychlorinated Biphenyl (PCB) Levels in Livers of the Otter (Lutra Lutra) from Concentrations in Scats and Fish,Pollution,POPs,Spraint,Czech Republic,1998,,,,,
Estimating the density of otter Lutra lutra populations using individual analyses of tracks,Population ,Population Size ,Tracks,Germany,1998,,,,,
Otters (Lutra lutra) increasing in Central Europe: from the threat of extinction to locally perceived overpopulation?,Ecology ,Human impacts ,Survey,Germany_Austria_Czech Republic_Hungary,1998,,,,,4 locations 
Variation of skull morphometry of Eurasian otters (Lutra lutra) in Denmark and Germany,Anatomy and Physiology,Anatomy ,Morphological mesures ,Germany_Denmark,1998,,,,,
Eurasian Otter (Lutra lutra) Still Present in Hong Kong,Population ,Species distribution,Survey,Hong Kong,1998,,,,,1 river system
Three Men In A Boat (To Say Nothing Of The Otter In Latvia),Population_Ecology,Population Size_Diet,Survey_Spraint,Latvia,1998,,,,,1 river system
Application of biomarkers for exposure and effect of polyhalogenated aromatic hydrocarbons in naturally exposed European otters (Lutra lutra),Pollution,POPs,Tissue samples ,Netherlands,1998,,,,,
"EXTERNAL MORPHOMETRY, DEMOGRAPHY AND MORTALITY OF THE OTTER Lutra lutra (LINNEO, 1758) IN THE IBERIAN PENINSULA",Anatomy and Physiology,Anatomy ,Morphological mesures ,Spain,1998,,,,,
CAPTURE AND CONSUMPTION OF PREY OF THE OTTER (Lutra lutra ) IN MEDITERRANEAN FRESHWATER HABITATS OF THE IBERIAN PENINSULA ,Ecology ,Diet,Spraint,Spain,1998,,,,,11
Changes in otter Lutra lutra distribution in Central Spain in the 1964–1995 period,Population ,Population Size ,Survey,Spain,1998,,,,,
REINTRODUCTION OF THE OTTER ( Lutra lutra ) IN NORTHEAST SPAIN (GIRONA PROVINCE) ,Population ,Reintroduction,Survey,Spain,1998,,,,,
Normal haematological and serum biochemical values of Eurasian otters (Lutra lutra) from a Scottish rehabilitation centre,Anatomy and Physiology,Physiology,Specimen,United Kingdom,1998,Yorkshire ,North East,England,,
Cyprinid prey remains in otter Lutra lutra faeces: some words of caution,Ecology ,Diet,Spraint,United Kingdom,1998,Aberdeenshire,,,,NA
The effects of otter (Lutra lutra) activity on spraint production and composition: implications for models which estimate prey-size distribution,Ecology ,Diet,Spraint,United Kingdom,1998,Aberdeenshire,,,,NA
Habitat selection by five otters Lutra lutra in rivers of northern Scotland,Ecology ,Habitat Use ,Tracking,United Kingdom,1998,Aberdeenshire,Lowlands ,Scotland,,2 river systems 
Decline in PCB levels in otters (Lutra lutra),Pollution,POPs,Tissue samples ,United Kingdom,1998,NA,,,,
Toads Bufo spp. in the diets of mustelid predators in Belarus,Ecology ,Diet,Spraint,Belarus,1997,,,,,1 river system
Developmental stability in the Eurasian Otter (Lutra lutra) in Denmark,Pollution,POPs,Postmortem,Denmark,1997,,,,,
Seasonal diet and feeding tactics of the European otter (Lutra lutra) in Central France,Ecology ,Diet,Spraint,France,1997,,,,,1 river system
Energy metabolism of underwater swimming in river-otters (Lutra lutra L.),Anatomy and Physiology,Physiology,Observations ,Germany,1997,,,,,
"Minimum passage rate of fishes through the digestive tract of otters Lutra lutra Linne, 1758 (Mustelidae)",Anatomy and Physiology,Physiology,Experimental,Germany,1997,,,,,
Polychlorinated Biphenyls in the Eurasian Otter (Lutra lutra),Pollution,POPs,Tissue samples ,Latvia,1997,,,,,
How Standard is the Standard Technique of the Otter Survey?,Reviews and methods,Population Review,Literiture,NA,1997,,,,,NA
The selective dietary accumulation of planar polychlorinated biphenyls in the otter (Lutra lutra),Pollution,POPs,Tissue samples ,Netherlands,1997,,,,,
Predation by marine-feeding otters (Lutra lutra) in south-west Portugal in relation to fluctuating food resources,Ecology ,Diet,Spraint,Portugal,1997,,,,,1 location
Observations on the sprainting behaviour of the otter Lutra lutra in the NE Spain,Behaviour,Sprainting behaviour ,Observations ,Spain,1997,,,,,
Movements and Establishment of Reintroduced European Otters Lutra lutra,Behaviour,Daily Routine ,Tracking,Sweden,1997,,,,,
The otter (Lutra lutra) situation in Latvia and Sweden related to PCB and DDT levels,Pollution,POPs,Specimen,Sweden_Latvia,1997,,,,,
"Body temperature and foraging behaviour of the Eurasian otter (Lutra lutra), in relation to water temperature",Anatomy and Physiology,Physiology,Observations ,United Kingdom,1997,Aberdeenshire,Lowlands ,Scotland,,
"Size selection of prey by otters, Lutra lutra L: An experimental approach",Behaviour,Predation ,Experimental,United Kingdom,1997,Aberdeenshire,,Scotland,,
"The Prey of Otters: Calorific Content of Eels (Anguilla anguilla) and other Fish, Frogs (Rana temporaria) and Toads (Bufo bufo)",Ecology,Diet,Specimen,United Kingdom,1997,Aberdeenshire,,,,NA
"Factors influencing use of freshwater pools by otters, Lutra lutra, in a marine environment",Ecology,Habitat Use ,Spraint,United Kingdom,1997,Skye,Highlands ,Scotland ,,
Health status of otters (Lutra lutra) in south-west England basedon postmortemfindings ,Health,General Health ,Specimen,United Kingdom,1997,"Cornwall, Devon, Somerset (environment agency)",South West,England,,
Concentrations of mercury in otters (Lutra lutra L.) in Scotland in relation to rainfall,Pollution,Heavy metals,Tissue samples ,United Kingdom,1997,"Wigtown, County of Kirkcudbrigh, Dumfries, Roxburgh , Ettrick and Lauderdale, Angus, Kincardineshire, Aberdeenshire, Inverness, Banffshire, Moray, Nairn, Ross and Cromarty, Caithness",,Scotland,,
Changes in age composition in populations of the Eurasian otter Lutra lutra in Scotland,Population ,Population Structure ,Specimen,United Kingdom,1997,"Aberdeenshire, Shetland, Argyll and Bute, Orkney ",,Scotland,,
Economic values of threatened mammals in Britain: A case study of the otter Lutra lutra and the water vole Arvicola terrestris,Reviews and methods,Economic Evaluation,Literiture,United Kingdom,1997,National ,,United Kingdom,,
Reintroduction of Otters a Successful Conservation Strategy?,Reviews and methods,Population Review,Survey,United Kingdom,1997,NA,,,,National 
"Serum Albumin of the Otter (Lutra Lutra L., 1758): An Electrophoretic Study",Anatomy and Physiology,Physiology,Blood,Austria_Hungary_Denmark,1996,,,,,NA
Fish Farming Regions as Key Elements for Natural Recolonisation along an Otter EECONET,Ecology,Human impacts,Literiture,Central Europe,1996,,,,,NA
"Population structure of the otter, Lutra lutra, Parameters and model for a Central European region ",Population ,Population Size ,Modeling ,Central Europe,1996,,,,,
The autumnal diet of otter (Lutra lutra) inhabiting four streams in the Czech Republic ,Ecology ,Diet,Spraint,Czech Republic,1996,,,,,2 regions
Variation in cranial form and sexual dimorphism among five European populations of the otter Lutra lutra,Anatomy and Physiology,Anatomy ,Morphological mesures ,Europe,1996,,,,,
Diet of otters Lutra lutra in central Finland,Ecology ,Diet,Spraint,Finland,1996,,,,,1 region
Distributional history of the American mink (Mustela vison) in Finland with special reference to the trends in otter (Lutra lutra) populations,Population ,Population Size ,Survey,Finland,1996,,,,,
Use of day resting places by the European otter (Lutra lutra) in the Marais Poitevin (France). A radiotracking study,Behaviour,Daily Routine ,Tracking,France,1996,,,,,
"Food Availability versus Food Utilization by Otters (Lutra lutra L.) in the Oberlausitz Pondland in Saxony, Eastern Germany",Ecology,Diet,Spraint,Germany,1996,,,,,1 pond
Analysis of otter (Lutra lutra) spraints: Part 1: Comparison of methods to estimate prey proportions; Part 2: Estimation of the size of prey fish,Ecology ,Diet,Spraint,Germany,1996,,,,,NA
Otter diet in relation to fish availability in a fish pond in Hungary,Ecology ,Diet,Spraint,Hungary,1996,,,,,1 pond
Otter Lutra lutra distribution in Poland,Population ,Population Size ,Survey,Poland,1996,,,,,
Notes on the technique of the otter field survey,Reviews and methods,Population Review,Literiture,Poland,1996,,,,,
Temporal and spatial patterns of rest-site use by four female otters Lutra lutra along the south-west coast of Portugal,Behaviour,Daily Routine ,Observations ,Portugal,1996,,,,,
An Analysis of Otter Lutra lutra Predation on Introduced American Crayfish Procambarus clarkii in Iberian Stream,Ecology ,Diet,Spraint,Portugal,1996,,,,,1 river system
"Seasonal breeding and food resources of otters, Lutra lutra (Carnivora, Mustelidae), in south-west Portugal: a comparison between coastal and inland habitats",Population ,Population Size ,Survey,Portugal,1996,,,,,
"The Current Status and Distribution of the Otter Lutra lutra L., 1758 in Serbia and Montenegro",Population ,Population distribution,Survey,Serbia_Montenegro,1996,,,,,National 
The relative influence of riparian habitat structure and fish availability on otter Lutra lutra L. sprainting activity in a small Mediterranean catchment,Ecology ,Habitat Use ,Enviromental variables,Spain,1996,,,,,1 river system
Competition between American mink Mustela vision and otter Lutra lutra during winter,Ecology ,Niche Occupation ,Spraint,Spain,1996,,,,,1 river system
Organochlorine Residue Levels and Bioconcentration Factors in Otters (Lutra lutra L.) from Northeast Spain,Pollution,POPs,Tissue samples ,Spain,1996,,,,,
Survivorship of captive-bred and wild-caught reintroduced European otters Lutra lutra in Sweden,Population ,Reintroduction,Tracking,Sweden,1996,,,,,
Some Aspects of the Feeding Ecology of Otters (Lutra lutra) in Turkey,Ecology,Diet,Spraint,Turkey,1996,,,,,1 region 
Some changes in the habitat use of a free-ranging female otter Lutra lutra during breeding,Behaviour,Daily Routine ,Tracking,United Kingdom,1996,Aberdeenshire,Lowlands ,Scotland,,
Individual differences in spatial utilization of a river-system by otters Lutra lutra,Ecology ,Habitat Use ,Tracking,United Kingdom,1996,Aberdeenshire,,,,1 river system
Concentrations of some organochlorines in otters (Lutra lutra L.) in Scotland: Implications for populations,Pollution,POPs,Specimen,United Kingdom,1996,National Not Chadwick et al,,Scotland,,
Errors associated with otter Lutra lutra faecal analysis. II. Estimating prey size distribution from bones recovered in spraints,Reviews and methods,Ecology methods,Literiture,United Kingdom,1996,Aberdeenshire,,,,
Errors associated with otter Lutra Zutra faecal analysis. I. Assessing general diet from spraints ,Reviews and methods,Ecology methods,Literiture,United Kingdom,1996,Aberdeenshire,Lowlands ,Scotland,,
"2-DIMENSIONAL ELECTROPHORESIS FOR THE STUDY OF BLOOD-SERUM PROTEINS OF THE OTTER, AN ENDANGERED SPECIES",Anatomy and Physiology,Physiology,Specimen,Austria,1995,,,,,
FISH LOSS IN AUSTRIAN FISH-PONDS AS A RESULT OF OTTER (LUTRA LUTRA L.) PREDATION ,Ecology ,Human impacts ,Survey,Austria,1995,,,,,1 region
"The reptiles in the diet of the otter (Lutra lutra L., Carnivora, Mammalia) in Europe",Ecology ,Diet,Spraint,Europe,1995,,,,,Continent 
The European Breeding Program (EEP) for Lutra lutra: its chances and problems,Population ,Reintroduction,Review ,Europe,1995,,,,,
Contamination of European Otters (Lutra Lutra) By Pcb Congeners and Organochlorinated Pesticides in the Wetlands of Western France,Pollution,POPs,Tissue samples ,France,1995,,,,,
A predictive model of the effect of environmental factors on the occurrence of otters (Lutra lutra L.) in Hungary,Ecology ,Habitat Use ,Enviromental variables,Hungary,1995,,,,,national
Preliminary study on the acoustic communication of captive otters (Lutra lutra),Behaviour,Communication,Observations ,Italy,1995,,,,,
Guidelines for the feasibility study of reintroduction of the otter Lutra lutra in Italy: the project of the Ticino Valley (North-Western Italy),Ecology ,Habitat Use ,Enviromental variables,Italy,1995,,,,,1 river system
Habitat suitability for the otter (Lutra lutra) of some rivers of Abruzzo Region (Central Italy),Ecology ,Habitat Use ,Enviromental variables,Italy,1995,,,,,2 river systems 
Observations on the predation behaviour of the otter Lutra lutra in NE Spain,Behaviour,Predation ,Observations ,Spain,1995,,,,,
Evidence for food competition between mink (Mustela vison) and otter (Lutra lutra) on Scottish islands,Ecology ,Diet,Spraint,United Kingdom,1995,Western Isles ,Highlands,Scotland,,1 location
Seasonal and area-related variations in the diet of otters Lutra lutra on Mull,Ecology ,Diet,Spraint,United Kingdom,1995,Argyll and Bute                      ,Highlands,Scotland,,1 location
Home range and diet of re-introduced European otters Lutra Lutra (L.) in Hertfordshire rivers,Population ,Reintroduction,Spraint,United Kingdom,1995,Hertfordshire ,South,England ,,
"AN ESTIMATE OF OTTER DENSITY WITHIN PART OF THE RIVER BLACKWATER CATCHMENT, SOUTHERN IRELAND",Population ,Population Size ,Survey,Ireland,1994,,,,,
REPRODUCTIVE TIMING IN EURASIAN OTTERS ON THE COAST OF NORWAY,Behaviour,Reproduction,,Norway,1994,,,,,
ON THE PECULIARITIES OF THE REPRODUCTIVE-BIOLOGY OF RIVER OTTER (LUTRA-LUTRA),Anatomy and Physiology,Reproduction,Specimen,Russian Federation,1994,,,,,
REPRODUCTION IN OTTERS IN BYELARUS AND NORTH-WESTERN RUSSIA,Behaviour,Reproduction,Specimen,Russian Federation,1994,,,,,
"A REVIEW OF OTTERS (CARNIVORA, MUSTELIDAE, LUTRINAE) IN MALAYSIA AND SINGAPORE",Reviews and methods,Species Review ,Literiture,Singapore,1994,,,,,
"Niche separation in three sympatric otters Lutra perspicillata, L. lutra and Aonyx cinerea in Huai Kha Khaeng, Thailand",Ecology ,Niche Occupation ,Spraint,Thailand,1994,,,,,1 river system
Oxygen Consumption of the Eurasian Otter Lutra lutra in Relation to Water Temperature,Anatomy and Physiology,Physiology,Observations ,United Kingdom,1994,Aberdeenshire,,,,
"Costs and benefits of fishing by a semi-aquatic carnivore, the otter Lutra lutra",Anatomy and Physiology,Predation ,Experimental,United Kingdom,1994,Aberdeenshire,,Scotland ,,
Hunting yield and daily food intake of a lactating otter (Lutra lutra) in Shetland,Behaviour,Daily Routine ,Observations ,United Kingdom,1994,Shetland,Highlands,Scotland,,
PCBs and organochlorine pesticide residues in otters (Lutra lutra) and in otter spraints from SW England and their likely impact on populations,Pollution,POPs,Tissue samples ,United Kingdom,1994,"Cornwall, Devon, Somerset",South West,England ,,
Foraging behaviour and feeding ecology of the otter Lutra lutra: a selective review,Reviews and methods,Species Review ,Literiture,United Kingdom,1994,NA,,,,
Status and conservation needs of the otter (Lutra lutra) in the western Palaearctic,Reviews and methods,Species Review ,Literiture,Worldwide,1994,,,,,
Organochlorine pesticide residues and PCBs in Danish otters (Lutra lutra),Pollution,POPs,Tissue samples ,Denmark,1993,,,,,
ORGANOCHLORINE PESTICIDE-RESIDUES AND PCBS IN DANISH OTTERS (LUTRA-LUTRA),Pollution,POPs,Tissue samples ,Denmark,1993,,,,,
"The decline of otter Lutra lutra populations in the region of the pays de loire, Western France",Population ,Population Size ,Survey,France,1993,,,,,
Cranial Form and Sexual Dimorphism in the Irish Otter Lutra lutra L.,Anatomy and Physiology,Anatomy ,Morphological mesures ,Ireland,1993,,,,,
The Diet of Otters Lutra lutra (L.) in the Clare River System,Ecology ,Diet,Spraint,Ireland,1993,,,,,1 river system
"Heavy metals in the livers of otters, Lutra lutra, from Ireland",Pollution,Heavy metals,Specimen,Ireland,1993,,,,,
FURTHER OBSERVATIONS ON PCB AND ORGANOCHLORINE PESTICIDE-RESIDUES IN IRISH OTTERS LUTRA-LUTRA,Pollution,POPs,Tissue samples ,Ireland,1993,,,,,
ORGANOCHLORINE PESTICIDE-RESIDUES AND PCBS IN OTTER SPRAINTS FROM SOUTHERN IRELAND,Pollution,POPs,Spraint,Ireland,1993,,,,,
Efficiency and Limitations of the Standard Otter (Lutra lutra) Survey Technique in Ireland,Reviews and methods,Population Review,Literiture,Ireland,1993,,,,,
Diving of Otters (Lutra lutra) in a Marine Habitat: Use of Depths by a Single-Prey Loader,Behaviour,Predation,Observations ,Netherlands,1993,,,,,
Marine-feeding otters (Lutra lutra) in Norway: seasonal variation in prey and reproductive timing,Ecology ,Diet,Spraint,Norway,1993,,,,,3 sites 
"Diet composition of the otter Lutra lutra in the Bieszczady Mountains, south-east Poland ",Ecology ,Diet,Spraint,Poland,1993,,,,,1 river system
"Diet of otters (Lutra lutra) inhabiting small rivers in the Bialowiez̀a National Park, eastern Poland",Ecology ,Diet,Spraint,Poland,1993,,,,,1 river system
"Adrenocorticolytic DDT-metabolites: studies in mink, Mustela vison and otter, Lutra lutra",Pollution,POPs,Tissue samples ,Sweden,1993,,,,,
ONTOGENY OF HUNTING BEHAVIOR OF OTTERS (LUTRA-LUTRA L) IN A MARINE-ENVIRONMENT,NA,NA,NA,United Kingdom,1993,NA,,,,
Impact of organochlorine pesticide residues and PCBs on otters (Lutra lutra) in eastern England,Pollution,POPs,Spraint,United Kingdom,1993,"Norfolk, Suffolk, Essex",East England,England,,
Impact of organochlorine pesticide residues and PCBs on otters (Lutra lutra): a study from western Britain,Pollution,POPs,Spraint,United Kingdom,1993,Shropshire ,Westen England,England,,
PCB AND ORGANOCHLORINE PESTICIDE-RESIDUES IN A SAMPLE OF OTTER (LUTRA-LUTRA) SPRAINTS FROM NORTHERN-IRELAND,Pollution,POPs,Tissue samples ,United Kingdom,1993,Northern Ireland ,,,,
PCB congeners in tissues of European otter (Lutra lutra),Pollution,POPs,Tissue samples ,United Kingdom,1993,NA,"South West, South, East England ",England ,,
PCBs and organochlorine pesticide residues in otter (Lutra lutra) spraints from Welsh catchments and their significance to otter conservation strategies,Pollution,POPs,Spraint,United Kingdom,1993,"Gwent, Dyfed, Powys, Clwyd and Gwynedd, Mid Glamorgan, South Glamorgan, West Glamorgan",,Wales,,
REGIONAL TRENDS IN PCB AND PESTICIDE CONTAMINATION IN NORTHERN BRITAIN AS DETERMINED IN OTTER (LUTRA-LUTRA) SCATS,Pollution,POPs,Tissue samples ,United Kingdom,1993,"Cumbria, Northumberland ",,,,
MERCURY IN DANISH OTTERS (LUTRA-LUTRA),Pollution,Heavy metals,Tissue samples ,Denmark,1992,,,,,
Otters Lutra lutra Feeding on Carrion,Ecology ,Diet,Spraint,Ireland,1992,,,,,1 river system
Organochlorine pesticide residues and PCBs in otters (Lutra lutra) from Ireland,Pollution,POPs,Tissue samples ,Ireland,1992,,,,,
Effects of freshwater availability on the summer distribution of otters Lutra lutra in the southwest coast of Portugal,Ecology ,Habitat Use ,Enviromental variables,Portugal,1992,,,,,1 region
Scent marking by otters (Lutra lutra): signaling the use of resources,Behaviour,Chemical communication ,Spraint,United Kingdom,1992,Shetland,Highlands,Scotland,,
Organochlorine pesticide and PCB contents in otter (Lutra lutra) scats from western Scotland,Pollution,POPs,Spraint,United Kingdom,1992,"Argyll and Bute, Dumbarton, Renfrewshireshire                       ",Highlands,Scotland,,
ECOLOGY OF THE OTTER (LUTRA-LUTRA) IN MARAIS POITEVIN AREA .2. GENERAL-ANALYSIS OF FEEDING-HABITS,Ecology ,Diet,Spraint,France,1991,,,,,1 region
"Distribution of the otter Lutra lutra in Ireland, and its value as an indicator of habitat quality",Population ,Population Size ,Survey,Ireland,1991,,,,,
"The Distribution of Otters Lutra lutra within a Major Irish River System, the Munster Blackwater Catchment, 1988-90",Population ,Population Size ,Survey,Ireland,1991,,,,,
The spatial organization of otters (Lutra lutra) in Shetland,Behaviour,Territoriallity ,Observations ,United Kingdom,1991,Shetland,Highlands,Scotland,,
Prey selection by coastal otters (Lutra lutra L.),Ecology ,Diet,Spraint,United Kingdom,1991,Argyll and Bute                      ,Highlands,Scotland,,1 location
Mortality of otters (Lutra lutra) in Shetland,Health,Mortality ,Specimen,United Kingdom,1991,Shetland,Highlands,Scotland,,
MORTALITY OF OTTERS (LUTRA LUTRA) IN SHETLAND,Health,Mortality ,Tissue samples ,United Kingdom,1991,Shetland,Highlands,Scotland,,
"Gastrointestinal helminths of the otter, Lutra lutra, in Shetland",Health,Parasites,Specimen,United Kingdom,1991,Shetland,Highlands,Scotland,,
"Recruitment to a Population of Otters (Lutra lutra) in Shetland, in Relation to Fish Abundance",Population ,Population Size ,Survey,United Kingdom,1991,Shetland,Highlands,Scotland,,
"SEASONAL MARKING, HABITAT AND ORGANOCHLORINE CONTAMINATION IN OTTERS (LUTRA-LUTRA) - A COMPARISON BETWEEN CATCHMENTS IN ANDALUSIA AND WALES",Pollution,POPs,Spraint,United Kingdom_Spain,1991,Powys,,,,
DEMOGRAPHY OF THE OTTER (LUTRA-LUTRA L),Population ,Population Structure ,,Belarus,1990,,,,,
The food of otters Lutra lutra in different habitats in Hungary,Ecology ,Diet,Spraint,Hungary,1990,,,,,5 locations 
THE DIET OF OTTERS LUTRA LUTRA IN THE NETHERLANDS IN VVINTER AND EARLY SPRINC,Ecology ,Diet,Spraint,Netherlands,1990,,,,,1 location
"Effects of sea water on thermal insulation of the otter, Lutra lutra",Anatomy and Physiology,Physiology,Observations ,United Kingdom,1990,Aberdeenshire,Lowlands ,Scotland,,
"Feeding Patches and Diving Success of Otters, Lutra lutra, in Shetland",Ecology,Habitat Use ,Observations ,United Kingdom,1990,Shetland,Highlands,Scotland,,
"Predation on adult Atlantic salmon, Salmo salar L., by otters, Lutra lutra (L.), within the River Dee system, Aberdeenshire, Scotland",Ecology ,Diet,Spraint,United Kingdom,1990,Aberdeenshire,Lowlands ,Scotland,,1 river system
Seasonal and spatial differences in food selection by otters (Lutra lutra) in Shetland,Ecology ,Diet,Spraint,United Kingdom,1990,Shetland,Highlands,Scotland,,1 location
Seasonal exploitation of amphibians by otters (Lutra lutra) in north-east Scotland,Ecology ,Diet,Spraint,United Kingdom,1990,Aberdeenshire,Lowlands ,Scotland,,1 river system
A record of an otter (Lutra lutra) natal den,Ecology ,Habitat Use ,Observations ,United Kingdom,1990,Aberdeenshire,Lowlands ,Scotland,,1 site
"A BACTERIAL-INFECTION AS A CAUSE OF ABORTION IN THE EUROPEAN OTTER, LUTRA-LUTRA",Health,Disease,Specimen,United Kingdom,1990,Aberdeenshire,,Scotland,,
The prevalence of Pseudoterranova decipiens (Nematoda) and Corynosoma strumosum (Acanthocephala) in otters Lutra lutra from coastal sites in Britain,Health,Parasites,Specimen,United Kingdom,1990,NA,,United Kingdom,,
The Food of Otters Lutra lutra in the Irish Midlands and a Comparison with That of Mink Mustela vison in the Same Region,Ecology ,Diet,Spraint,Ireland,1989,,,,,4 rivers_1 region
Grooming and resting of otters Lutra lutra in a marine habitat,Behaviour,Daily Routine ,Tracking,United Kingdom,1989,Shetland,Highlands,Scotland,,
ACIDIFICATION AND OTTER (LUTRA-LUTRA) DISTRIBUTION IN SCOTLAND,Ecology ,Habitat sutibility ,Enviromental variables,United Kingdom,1989,"Sutherland, Argyll and Bute, Dumbarton, Renfrewshire, The Stewartry of Kirkcudbright",,Scotland,,3 regions 
Assessment of the value of rivers for Otters (Lutra lutra),Ecology ,Habitat Use ,Enviromental variables,United Kingdom,1989,NA,,,,NA
Suspected Aleutian disease in a wild otter (Lutra lutra).,Health,Disease,Specimen,United Kingdom,1989,Norfolk,,,,
"An estimate of numbers and habitat preferences of otters Lutra lutra in Shetland, UK",Population ,Population Size ,Survey,United Kingdom,1989,Shetland,Highlands,Scotland,,
Age determination based on epiphyseal fusion in post-cranial bones and tooth wear in otters (Lutra lutra),Reviews and methods,Determination of age,Morphological mesures ,Denmark,1988,,,,,
"Chlorinated hydrocarbons, PCBs and cesium isotopes in otters (Lutra lutra L.) from Central Finland",Pollution,Heavy metals_POPs,Tissue samples ,Finland,1988,,,,,
"HEMOGLOBINS .123. CARNIVORA - THE PRIMARY STRUCTURE OF THE COMMON OTTER (LUTRA-LUTRA, MUSTELIDAE) HEMOGLOBIN",Anatomy and Physiology,Physiology,Specimen,Germany,1988,,,,,
"DISCOVERY OF A LUTRA (MAMMALIA, CARNIVORA, MUSTELIDAE) FROM THE LOWER TRAVERTINE OF WEIMAR-EHRINGSDORF IN THURINGIA",Population ,Population Size ,Observations ,Germany,1988,,,,,
"THE STATUS OF OTTER LUTRA-LUTRA-ANGUSTIFRONS LATASTE, 1885 IN MOROCCO",Reviews and methods,Species Review ,Review ,Morocco,1988,,,,,
ANESTHESIA IN THE EUROPEAN OTTER (LUTRA-LUTRA),Health,Surgery,Specimen,United Kingdom,1988,NA,,,,
Pathological changes and organochlorine residues in tissues of wild otters (Lutra lutra).,Pollution,POPs,Specimen,United Kingdom,1988,Norfolk,East England,England ,,
"Distribution, habitat and diet of the otter Lutra lutra in the Drina catchment, Yugoslavia",Ecology ,Diet,Spraint,Yugoslavia ,1988,,,,,1 river system 
"Effects of crayfish introduction on Otter Lutra lutra food in the Doñana National Park, SW Spain",Ecology ,Diet,Spraint,Spain,1987,,,,,1 location
"Food habits of the otter (Lutra lutra) in two habitats of the Dofiana National Park, SW Spain",Ecology ,Diet,Spraint,Spain,1987,,,,,1 location
Surveying otter Lutra lutra populations: A discussion of problems with spraints.,Ecology ,Diet,Spraint,United Kingdom,1987,Shetland,Highlands,Scotland,,NA
Acidification and otter (Lutra lutra) distribution on a British river,Pollution,Acidification,Survey,United Kingdom,1987,Dyfed,North Wales,Wales ,,
The otter Lutra lutra in Albania,Population ,Population Size ,Survey,Albania,1986,,,,,
"Sexual dimorphism in the skull of minks Mustela vison, badgers Meles meles and otters Lutra lutra",Anatomy and Physiology,Anatomy ,Morphological mesures ,Norway,1986,,,,,
THE PRIMARY STRUCTURE OF MYOGLOBIN FROM OTTER (L-UTRA-LUTRA-L) .2. PEPTIC PEPTIDES OF THE TRYPTIC INSOLUBLE CORE - RECONSTRUCTION OF THE OTTER MYOGLOBIN POLYPEPTIDE-CHAIN,Anatomy and Physiology,Physiology,Tissue samples ,Ukraine,1986,,,,,
ESTIMATION OF COMPLETE BODY WEIGHTS FOR SKINNED EUROPEAN OTTERS LUTRA-LUTRA (L),Anatomy and Physiology,Anatomy ,Specimen,United Kingdom,1986,Cambridgeshire ,,,,
"Ecology of otters in northern Scotland. VI. Diving times and hunting success of otters (Lutra lutra) at Dinnet Lochs, Aberdeenshire and in Yell Sound, Shetland",Behaviour,Predation ,Observations ,United Kingdom,1986,"Aberdeenshire, Shetland","Lowlands, Highlands",Scotland,,
"THE DISTRIBUTION OF OTTER FECES (LUTRA-LUTRA L) ON THE COAST OF WESTER-ROSS, SCOTLAND (1979-1980)",Behaviour,Sprainting behaviour ,Spraint,United Kingdom,1986,Ross and Cromarty,,Scotland,,
The use of spraints to survey populations of otters Lutra lutra.,Ecology ,Habitat Use ,Spraint,United Kingdom,1986,Shetland,,,,1 location
Reinforcing the native Otter Lutra lutra population in East Anglia: an analysis of the behaviour and range development of the first release group,Reviews and methods,Population Review,,United Kingdom,1986,"Norfolk, Suffolk",East England,England ,,
The use of spraints for surveying otter Lutra lutra populations: An evaluation.,Reviews and methods,Population Review,Literiture,United Kingdom,1986,NA,,,,
THE OTTER (LUTRA-LUTRA) AS SEEN IN GERMAN AND AUSTRIAN HUNTING STATISTICS BETWEEN 1830 AND 1936,Reviews and methods,Ecology Review,Review ,United Kingdom_Germany,1986,NA,,,,
The otter (Lutra lutra) in north-central Algeria,Population ,Population Size ,Survey,Algeria,1985,,,,,
ON THE INCIDENCE OF HYPERTHERMIA IN THE IMMOBILIZATION OF EUROPEAN OTTERS (LUTRALUTRA) WITH KETAMINE-HYDROCHLORIDE,Health,Surgery,Specimen,Germany,1985,,,,,
Food of Otters Lutra lutra on the South Shore of Galway Bay,Ecology ,Diet,Spraint,Ireland,1985,,,,,1 location
THE PRIMARY STRUCTURE OF OTTER (LUTRA-LUTRA L) MYOGLOBIN .1. SOLUBLE PEPTIDES OF TRYPTIC HYDROLYSATE,Anatomy and Physiology,Physiology,Tissue samples ,Ukraine,1985,,,,,
PRACTICAL EXPERIENCES WITH THE IMMOBILIZATION OF EUROPEAN OTTER (LUTRA-LUTRA) USING KETAMINE-HYDROCHLORIDE,Health,Surgery,Specimen,Germany,1984,,,,,
FOOD OF OTTERS LUTRA-LUTRA (L) IN AN IRISH LIMESTONE RIVER SYSTEM WITH SPECIAL REFERENCE TO THE CRAYFISH AUSTROPOTAMOBIUS-PALLIPES (LEREBOULLET),Ecology ,Diet,Spraint,Ireland,1984,,,,,1 river system
Age determination in the European otter Lutra lutra lutra ,Population ,Population Structure ,Morphological mesures ,Norway,1984,,,,,
APPARENT TAIL DISPLAY IN THE OTTER (LUTRA-LUTRA),Behaviour,Communication,Observations ,United Kingdom,1984,Aberdeenshire,,,,
